Email,First Name,Last Name,Account Name,Birthdate,Contact Tags,Date of Rehire,Description,Employee ID,Entry Date,Gender Identity,Hours Worked,Marital Status,Original Hire Date,Participant Eligibility Status,Pre-Tax Contribution Rate %,Pre-Tax Contribution Rate $,Pre-Tax Salary Deferral,Preferred Name,Roth Contribution Rate $,Salary ($),Spanish Speaker,Title,Personal Phone,Middle Name,Phone,Salutation,Personal Email,Mailing City,Mailing Postal Code,Mailing State,Mailing Street,Employment Status Active,Roth Contribution Rate %,Roth Salary Deferral,Salary ($),Plan Balance ($),Latest Day of Hire,Date of Separation
abigail.anderson87@viserly.demo,Abigail,Anderson,,1966-12-03,Participant,,,600087,2012-12-10,,2080,Single,2012-12-10,Eligible,0.041,437,true,Abigail,510,127821,false,Manager,555-9902256,A.,555-2662390,Ms.,abigail87@gmail.com,Raleigh,46445,CA,8448 Main St,true,0.0479,true,127821,333018,,
abigail.clark213@viserly.demo,Abigail,Clark,,1985-08-14,Participant,,,600213,2015-10-03,,2080,Single,2015-10-03,Eligible,0.0537,691,true,Abigail,21,154523,false,Engineer,555-9846663,A.,555-2555582,Ms.,abigail213@gmail.com,Dallas,19021,WA,573 Main St,true,0.0016,true,154523,766794,,
abigail.lewis467@viserly.demo,Abigail,Lewis,,1976-10-20,Participant,,,600467,2022-10-10,,2080,Married,2022-10-10,Eligible,0.1089,663,true,Abigail,55,73040,false,Analyst,555-9511573,A.,555-2923428,Ms.,abigail467@gmail.com,Miami,48053,AZ,4186 Main St,true,0.0091,true,73040,64802,,
abigail.mitchell376@viserly.demo,Abigail,Mitchell,,1963-09-14,Participant,,,600376,2011-10-26,,2080,Single,2011-10-26,Eligible,0.0533,323,true,Abigail,350,72765,true,VP,555-9313294,A.,555-2676672,Ms.,abigail376@gmail.com,Columbus,91825,CA,3617 Main St,true,0.0578,true,72765,42062,,
abigail.nguyen372@viserly.demo,Abigail,Nguyen,,1962-05-20,Participant,,,600372,2020-02-24,,2080,Married,2020-02-24,Eligible,0.1459,1588,true,Abigail,812,130626,false,Coordinator,555-9132650,A.,555-2906273,Ms.,abigail372@gmail.com,Seattle,31037,NY,9094 Main St,true,0.0746,true,130626,642980,,
abigail.thompson234@viserly.demo,Abigail,Thompson,,1974-08-12,Participant,,,600234,2011-09-04,,2080,Married,2011-09-04,Eligible,0.1243,1290,true,Abigail,813,124509,false,Engineer,555-9156080,A.,555-2940701,Ms.,abigail234@gmail.com,Denver,17753,CO,1197 Main St,true,0.0784,true,124509,290860,,
abigail.hill316@viserly.demo,Abigail,Hill,,1974-02-08,Participant,,,600316,2013-10-18,,2080,Single,2013-10-18,Eligible,0.1429,2230,true,Abigail,1138,187243,false,Coordinator,555-9367628,B.,555-2441896,Ms.,abigail316@gmail.com,Seattle,27775,AZ,1975 Main St,true,0.0729,true,187243,632638,,
abigail.hill125@viserly.demo,Abigail,Hill,,1977-09-05,Participant,,,600125,2016-07-27,,2080,Married,2016-07-27,Eligible,0.0713,1438,true,Abigail,817,242093,false,VP,555-9728385,B.,555-2574044,Ms.,abigail125@gmail.com,Atlanta,83985,NC,4117 Main St,true,0.0405,true,242093,341446,,
abigail.rivera353@viserly.demo,Abigail,Rivera,,1966-05-18,Participant,,,600353,2013-08-16,,2080,Married,2013-08-16,Eligible,0.132,2298,true,Abi,700,208886,false,Coordinator,555-9504673,B.,555-2309601,Ms.,abigail353@gmail.com,Dallas,72507,AZ,2452 Main St,true,0.0402,true,208886,391210,,
abigail.thompson253@viserly.demo,Abigail,Thompson,,1960-11-28,Participant,,,600253,2011-11-26,,2080,Single,2011-11-26,Eligible,0.0752,1184,true,Abigail,1202,189008,false,Director,555-9683039,B.,555-2992836,Ms.,abigail253@gmail.com,Seattle,18878,GA,4377 Main St,true,0.0763,true,189008,505158,,
